Player,KEN
Jason Kidd,10998.599768536995
John Stockton,10656.162657538835
LeBron James,8512.700679504254
Kareem Abdul-Jabbar,8278.918227552833
Steve Nash,8013.706675334226
Gary Payton,7615.212953923212
Mark Jackson,7573.31927295038
Magic Johnson,7560.282621446834
Kevin Garnett,7536.517158613029
Kobe Bryant,7388.441630861584
