,magnitude,place
2653,1.17,"12km WNW of Templeton, CA"
2654,0.9,"36km NE of Dixon Lane-Meadow Creek, California"
2655,0.72,"6km NNW of The Geysers, CA"
2656,0.86,"3km SE of Yucaipa, CA"
2657,1.62,"40km NW of Ketchum, Idaho"
2658,-0.4,"20km W of Dutch Harbor, Alaska"
2659,0.6,"69km SE of Hawthorne, Nevada"
2660,2.5,"68km SSW of Kaktovik, Alaska"
2661,1.6,"78km ESE of Whittier, Alaska"
2662,1.4,"37km S of Cantwell, Alaska"
2663,1.0,"8km NE of Carson City, Nevada"
2664,5.0,"198km ENE of Georgetown, Saint Helena"
2665,4.6,"209km E of Kuril'sk, Russia"
2666,1.9,"22km N of Anchor Point, Alaska"
2667,5.0,"209km E of Kuril'sk, Russia"
2668,1.0,"18km ENE of Thousand Palms, CA"
2669,2.0,"70km SSW of Kaktovik, Alaska"
2670,2.85,"13km SW of Toms Place, CA"
2671,2.2,"131km SSE of Prudhoe Bay, Alaska"
2672,2.1,"60km SSW of Kaktovik, Alaska"
2673,0.28,"9km NE of Aguanga, CA"
2674,0.3,"41km ESE of Bridgeport, California"
2675,2.01,"2km W of Volcano, Hawaii"
2676,0.2,"11km NW of Kingsbury, Nevada"
2677,2.11,"2km SE of Bamberg, South Carolina"
2678,0.86,"8km ENE of Aguanga, CA"
2679,0.37,"9km ENE of Aguanga, CA"
2680,1.51,"4km NE of Toms Place, CA"
2681,1.66,"4km ENE of Toms Place, CA"
2682,2.03,"6km ESE of Maricao, Puerto Rico"
2683,0.31,"10km NE of Aguanga, CA"
2684,1.6,"20km NW of Montpelier, Idaho"
2685,0.22,"21km W of Dutch Harbor, Alaska"
2686,0.9,"44km WNW of Ester, Alaska"
2687,0.83,"11km NW of Parkfield, CA"
2688,0.71,"4km N of Julian, CA"
2689,2.4,"57km SSW of Kaktovik, Alaska"
2690,0.78,"9km NW of The Geysers, CA"
2691,1.8,"80km ESE of Whittier, Alaska"
2692,1.8,"6km WNW of White River Junction, Vermont"
2693,3.13,"93km NNE of San Juan, Puerto Rico"
2694,4.9,"105km WSW of Saumlaki, Indonesia"
2695,0.9,"55km SW of Cantwell, Alaska"
2696,1.3,"64km W of Willow, Alaska"
2697,1.8,"131km NW of Arctic Village, Alaska"
2698,0.54,"11km N of Julian, CA"
2699,0.27,"20km W of Dutch Harbor, Alaska"
2700,2.1,"72km S of Cantwell, Alaska"
2701,1.1,"7km E of Lazy Mountain, Alaska"
2702,0.2,"35km ENE of Big Pine, California"
2703,0.56,"10km WNW of The Geysers, CA"
2704,0.69,"10km WNW of The Geysers, CA"
2705,0.67,"21km W of Dutch Harbor, Alaska"
2706,0.87,"10km WNW of The Geysers, CA"
2707,0.2,"70km NNW of Cape Yakataga, Alaska"
2708,0.1,"27km SSW of Hawthorne, Nevada"
2709,0.61,"8km E of Mammoth Lakes, CA"
2710,1.6,"70km SSW of Kaktovik, Alaska"
2711,2.9,"44km SSW of Redoubt Volcano, Alaska"
2712,1.0,"9km NE of Milpitas, CA"
2713,1.34,"21km W of Dutch Harbor, Alaska"
2714,0.81,"14km SE of Mammoth Lakes, CA"
2715,1.8,"7km ENE of Pahala, Hawaii"
2716,0.39,"10km NE of Aguanga, CA"
2717,0.71,"21km ESE of Anza, CA"
2718,1.18,"8km NE of Aguanga, CA"
2719,0.9,"40km SSW of Currant, Nevada"
2720,1.5,"164km NW of Kobuk, Alaska"
2721,0.45,"5km E of Palomar Observatory, CA"
2722,1.6,"1km E of Kenai, Alaska"
2723,0.38,"9km NE of Aguanga, CA"
2724,2.2,"130km NNW of Arctic Village, Alaska"
2725,0.96,"14km SE of Lincoln, Montana"
2726,0.53,"0km WSW of Three Forks, Montana"
2727,1.01,"5km W of Mammoth Lakes, CA"
2728,2.1,"51km SSW of Redoubt Volcano, Alaska"
2729,0.1,"12km SE of Smith Valley, Nevada"
2730,2.99,"85km N of Culebra, Puerto Rico"
2731,1.4,"49km ENE of Cape Yakataga, Alaska"
2732,0.95,"20km W of Dillon, Montana"
2733,1.52,"1km NW of The Geysers, CA"
2734,1.3,"5km WSW of Bodfish, CA"
2735,2.3,"111km WNW of Tanana, Alaska"
2736,4.6,"54km WSW of Adak, Alaska"
2737,1.38,"10km S of Malibu Beach, CA"
2738,0.5,"49km NE of Beatty, Nevada"
2739,1.3,"4km ENE of Kenai, Alaska"
2740,1.7,"52km ENE of Cantwell, Alaska"
2741,2.45,"33km N of Tierras Nuevas Poniente, Puerto Rico"
2742,1.76,"15km SSW of Volcano, Hawaii"
2743,1.71,"8km NNE of Milpitas, CA"
2744,0.69,"9km N of Borrego Springs, CA"
2745,2.23,"18km ENE of Thousand Palms, CA"
2746,1.8,"128km NW of Arctic Village, Alaska"
2747,2.4,"69km SSW of Kaktovik, Alaska"
2748,1.57,"14km E of Seven Trees, CA"
2749,2.9,"127km SSE of Prudhoe Bay, Alaska"
2750,1.6,"121km NW of Arctic Village, Alaska"
2751,1.23,"47km W of Nikolski, Alaska"
2752,1.75,"43km ENE of Kanab, Utah"
2753,0.1,"53km S of Goldfield, Nevada"
2754,0.42,"8km ENE of Aguanga, CA"
2755,2.0,"123km NNW of Arctic Village, Alaska"
2756,0.23,"4km W of Cobb, CA"
2757,0.9,"60km ENE of Cape Yakataga, Alaska"
2758,0.4,"10km NE of Aguanga, CA"
2759,1.01,"3km SSW of Cobb, CA"
2760,0.88,"7km NW of The Geysers, CA"
2761,1.08,"16km ESE of Livermore, CA"
2762,0.8,"16km ESE of Lincoln, Montana"
2763,1.3,"60km NNW of Valdez, Alaska"
2764,3.06,"68km N of Isabela, Puerto Rico"
2765,1.5,"93km W of Willow, Alaska"
2766,0.72,"6km E of Murrieta Hot Springs, CA"
2767,4.4,"138km W of Colchani, Bolivia"
2768,4.6,"66km ESE of JP Tinian Town pre-WW2, Northern Mariana Islands"
2769,1.9,"53km W of Cantwell, Alaska"
2770,2.2,"57km SSW of Kaktovik, Alaska"
2771,0.68,"7km WNW of The Geysers, CA"
2772,0.2,"12km NE of Little Lake, CA"
2773,1.4,"22km NE of Fairbanks, Alaska"
2774,1.31,"8km S of Idyllwild, CA"
2775,4.8,"15km W of Palu, Indonesia"
2776,2.0,"39km S of Kaktovik, Alaska"
2777,1.8,"119km SSE of Prudhoe Bay, Alaska"
2778,0.55,"10km WNW of The Geysers, CA"
2779,1.4,"63km SW of Anchor Point, Alaska"
2780,1.5,"41km NE of Y, Alaska"
2781,0.89,"10km WNW of Cobb, CA"
2782,0.9,"10km WNW of The Geysers, CA"
2783,1.16,"7km NNW of Waterville, Washington"
2784,0.7,"6km N of North Pole, Alaska"
2785,1.8,"73km WNW of Arctic Village, Alaska"
2786,2.8,"83km WNW of Arctic Village, Alaska"
2787,2.58,"19km N of Hatillo, Puerto Rico"
2788,0.9,"70km E of Cape Yakataga, Alaska"
2789,0.25,"12km NE of Little Lake, CA"
2790,1.3,"18km N of Borrego Springs, CA"
2791,0.55,"17km W of Akutan, Alaska"
2792,1.38,"25km WSW of Dallas, Oregon"
2793,4.0,"180km WSW of Puerto Quellon, Chile"
2794,1.2,"54km N of Yakutat, Alaska"
2795,1.11,"28km N of Amboy, Washington"
2796,0.44,"5km SSE of Idyllwild, CA"
2797,1.1,"24km W of Anchorage, Alaska"
2798,1.14,"26km ENE of Pine Valley, CA"
2799,1.8,"56km SSW of Kaktovik, Alaska"
2800,-0.61,"17km W of Akutan, Alaska"
2801,1.27,"0km SSE of Espino, Puerto Rico"
2802,1.6,"116km SSE of Prudhoe Bay, Alaska"
2803,1.1,"65km ENE of Cantwell, Alaska"
2804,0.6,"48km NW of Cape Yakataga, Alaska"
2805,1.71,"4km S of La Playa, Puerto Rico"
2806,1.5,"48km ESE of Whittier, Alaska"
2807,0.9,"43km NW of Ester, Alaska"
2808,0.32,"10km W of Toms Place, CA"
2809,2.0,"12km SSW of Princeton, Canada"
2810,0.55,"6km NW of The Geysers, CA"
2811,0.83,"9km WSW of Toms Place, CA"
2812,0.54,"6km S of Idyllwild, CA"
2813,0.7,"37km SSW of Gabbs, Nevada"
2814,1.38,"6km SE of Chula Vista, CA"
2815,1.3,"21km ENE of Willow, Alaska"
2816,1.17,"3km ESE of Home Gardens, CA"
2817,0.51,"6km ENE of Mammoth Lakes, CA"
2818,2.46,"16km SE of Volcano, Hawaii"
2819,0.87,"16km SE of Volcano, Hawaii"
2820,0.58,"10km NE of Aguanga, CA"
2821,1.8,"10km W of Ely, Nevada"
2822,1.66,"12km SE of Laytonville, CA"
2823,0.7,"10km WNW of The Geysers, CA"
2824,1.82,"9km W of Isla Vista, CA"
2825,-0.9,"94km ESE of Old Iliamna, Alaska"
2826,1.65,"10km ENE of Mount Shasta, CA"
2827,1.4,"18km NW of Tehachapi, CA"
2828,1.39,"14km NW of Salina, Utah"
2829,1.1,"7km SE of Tehachapi, CA"
2830,1.8,"49km SSW of Kaktovik, Alaska"
2831,1.6,"81km NW of Arctic Village, Alaska"
2832,1.1,"5km W of Cobb, CA"
2833,1.9,"5km SW of Volcano, Hawaii"
2834,1.5,"119km NW of Arctic Village, Alaska"
2835,0.9,"60km NW of Healy, Alaska"
2836,1.3,"101km WNW of Arctic Village, Alaska"
2837,0.87,"5km NNE of Banning, CA"
2838,1.3,"109km NW of Arctic Village, Alaska"
2839,1.29,"7km S of Mojave, CA"
2840,2.0,"71km SW of Kaktovik, Alaska"
2841,0.12,"22km NNW of Borrego Springs, CA"
2842,1.92,"5km E of Butte, Montana"
2843,-0.25,"100km ESE of King Salmon, Alaska"
2844,1.4,"97km WNW of Arctic Village, Alaska"
2845,-0.48,"99km ESE of King Salmon, Alaska"
2846,-0.52,"100km ESE of King Salmon, Alaska"
2847,-0.2,"63km N of Pahrump, Nevada"
2848,1.9,"131km NW of Arctic Village, Alaska"
2849,1.53,"7km SSE of Big Bear City, CA"
2850,1.4,"63km W of Anchor Point, Alaska"
2851,0.97,"3km E of Aromas, CA"
2852,0.74,"13km NE of Little Lake, CA"
2853,1.77,"5km SW of Volcano, Hawaii"
2854,2.81,"89km N of San Juan, Puerto Rico"
2855,1.2,"115km W of Talkeetna, Alaska"
2856,1.6,"101km W of Cantwell, Alaska"
2857,1.83,"4km ESE of Pahala, Hawaii"
2858,0.56,"9km NW of The Geysers, CA"
2859,1.07,"17km ESE of Livermore, CA"
2860,0.9,"48km ENE of Eielson Air Force Base, Alaska"
2861,2.24,"17km NNW of Garrochales, Puerto Rico"
2862,1.8,"34km S of Valdez, Alaska"
2863,4.4,"66km E of Nemuro, Japan"
2864,0.68,"2km ENE of Colton, CA"
2865,-0.48,"93km SE of King Salmon, Alaska"
2866,1.1,"2km E of Big Lake, Alaska"
2867,0.4,"24km W of Sunnyside-Tahoe City, California"
2868,0.44,"9km NW of The Geysers, CA"
2869,1.2,"26km SW of Gustine, CA"
2870,1.0,"21km ENE of Willow, Alaska"
2871,1.5,"56km WNW of Anchor Point, Alaska"
2872,1.07,"11km NE of Hollister, CA"
2873,0.56,"9km NW of The Geysers, CA"
2874,1.72,"22km N of Pahala, Hawaii"
2875,0.39,"37km SSE of Morton, Washington"
2876,1.5,"68km SW of Kaktovik, Alaska"
2877,4.8,South of the Fiji Islands
2878,0.95,"24km WNW of Montpelier, Idaho"
2879,1.84,"3km NNE of Pinnacles, CA"
2880,1.73,"18km ENE of Honaunau-Napoopoo, Hawaii"
2881,1.1,"52km SSW of Tok, Alaska"
2882,-0.17,"30km WNW of West Yellowstone, Montana"
2883,1.6,"102km ENE of Kotzebue, Alaska"
2884,1.72,"4km WSW of Three Forks, Montana"
2885,1.34,"13km W of Volcano, Hawaii"
2886,0.31,"8km ENE of Aguanga, CA"
2887,0.9,"31km WNW of North Nenana, Alaska"
2888,-0.13,"94km ESE of Old Iliamna, Alaska"
2889,0.32,"4km NE of Mammoth Lakes, CA"
2890,0.68,"11km S of Olancha, CA"
2891,1.2,"10km NE of Ocotillo Wells, CA"
2892,0.9,"47km W of Big Lake, Alaska"
2893,2.25,"15km ESE of Soda Springs, Idaho"
2894,1.65,"48km SE of Pahala, Hawaii"
2895,1.9,"60km SSW of Kaktovik, Alaska"
2896,1.69,"11km W of Manton, CA"
2897,2.63,"57km N of Isabela, Puerto Rico"
2898,1.4,"63km ENE of Cape Yakataga, Alaska"
2899,1.8,"55km SW of Kaktovik, Alaska"
2900,0.98,"2km SE of Loma Linda, CA"
2901,0.89,"17km N of Manhattan, Montana"
2902,1.81,"22km NW of Montpelier, Idaho"
2903,2.1,"45km SSW of Kaktovik, Alaska"
2904,0.39,"9km E of Mammoth Lakes, CA"
2905,1.12,"24km W of Unalaska, Alaska"
2906,1.9,"5km SW of Londonderry, New Hampshire"
2907,1.9,"49km SSW of Kaktovik, Alaska"
2908,1.5,"82km ENE of Cantwell, Alaska"
2909,0.5,"30km N of Spanish Springs, Nevada"
2910,0.77,"13km NE of Little Lake, CA"
2911,3.21,"21km NW of Montpelier, Idaho"
2912,1.47,"22km WNW of Montpelier, Idaho"
2913,1.65,"50km SW of Nikolski, Alaska"
2914,1.3,"50km NNE of Yakutat, Alaska"
2915,0.35,"13km NE of Mount Shasta, CA"
2916,4.1,"62km SSE of Bilungala, Indonesia"
2917,1.3,"13km NE of Healy, Alaska"
2918,2.6,"15km NE of Enid, Oklahoma"
2919,2.32,"23km WNW of Montpelier, Idaho"
2920,1.2,"107km NW of Talkeetna, Alaska"
2921,1.64,"3km SW of Volcano, Hawaii"
2922,1.62,"10km NNE of Lewiston, CA"
2923,5.7,"Galapagos Islands, Ecuador region"
2924,1.6,"117km NNW of Arctic Village, Alaska"
2925,0.56,"6km WNW of Cobb, CA"
2926,1.91,"3km NE of Vincent, CA"
2927,0.43,"10km NE of Aguanga, CA"
2928,0.51,"8km ENE of Aguanga, CA"
2929,1.05,"17km SW of Toms Place, CA"
2930,1.07,"11km NW of Shelton, Washington"
2931,3.69,"18km SE of Volcano, Hawaii"
2932,1.6,"96km ENE of Circle, Alaska"
2933,2.74,"14km SE of Volcano, Hawaii"
2934,1.86,"21km NW of Montpelier, Idaho"
2935,1.92,"22km NW of Montpelier, Idaho"
2936,1.76,"23km WNW of Montpelier, Idaho"
2937,0.3,"72km E of Beatty, Nevada"
2938,1.7,"82km NNW of Talkeetna, Alaska"
2939,0.45,"46km W of Tanaga Volcano, Alaska"
2940,0.9,"7km WNW of Anchor Point, Alaska"
2941,2.2,"78km SW of Kaktovik, Alaska"
2942,1.2,"92km NNW of Talkeetna, Alaska"
2943,1.8,"72km SSW of Kaktovik, Alaska"
2944,0.24,"4km NE of Mammoth Lakes, CA"
2945,1.4,"90km NW of Arctic Village, Alaska"
2946,0.3,"59km NNE of Pahrump, Nevada"
2947,2.11,"49km NNW of San Antonio, Puerto Rico"
2948,2.1,"17km WNW of Petrolia, CA"
2949,0.9,"60km NNE of Pahrump, Nevada"
2950,1.57,"21km NW of Montpelier, Idaho"
2951,3.0,"75km SW of Kaktovik, Alaska"
2952,2.4,"53km ESE of Lazy Mountain, Alaska"
2953,1.0,"39km NNW of Carlin, Nevada"
2954,0.27,"8km NE of Aguanga, CA"
2955,1.61,"19km WNW of Montpelier, Idaho"
2956,0.93,"8km ENE of Aguanga, CA"
2957,2.25,"21km NW of Montpelier, Idaho"
2958,0.7,"24km WSW of Hawthorne, Nevada"
2959,0.73,"5km E of Mammoth Lakes, CA"
2960,1.38,"21km NW of Montpelier, Idaho"
2961,1.1,"7km NNE of Talkeetna, Alaska"
2962,4.3,"86km SSW of Masachapa, Nicaragua"
2963,1.0,"62km NW of Ester, Alaska"
2964,0.15,"22km E of Mount Hood Village, Oregon"
2965,0.24,"76km NW of Nikiski, Alaska"
2966,2.29,"39km N of Toms Place, CA"
2967,1.8,"21km NW of Montpelier, Idaho"
2968,2.4,"42km SSW of Cantwell, Alaska"
2969,1.76,"2km ESE of Sabana Grande, Puerto Rico"
2970,2.49,"21km NW of Montpelier, Idaho"
2971,1.83,"21km S of Soda Springs, Idaho"
2972,1.8,"58km SSW of Kaktovik, Alaska"
2973,1.5,"114km SSE of Prudhoe Bay, Alaska"
2974,0.66,"7km NW of The Geysers, CA"
2975,1.06,"23km SSE of Soda Springs, Idaho"
2976,0.51,"10km NW of Parkfield, CA"
2977,0.18,"9km NE of Aguanga, CA"
2978,2.6,"22km SSE of Soda Springs, Idaho"
2979,2.03,"23km SSE of Soda Springs, Idaho"
2980,1.9,"61km SSW of Kaktovik, Alaska"
2981,1.03,"29km ENE of Coso Junction, CA"
2982,0.4,"15km SE of Gardnerville Ranchos, Nevada"
2983,0.15,"6km ENE of Mammoth Lakes, CA"
2984,1.12,"3km SSE of Rainier, Washington"
2985,4.3,"56km E of Mulchen, Chile"
2986,-0.1,"45km SE of Hawthorne, Nevada"
2987,0.0,"48km S of Goldfield, Nevada"
2988,1.1,"44km W of Anchor Point, Alaska"
2989,1.12,"8km ENE of Imperial, CA"
2990,0.68,"13km SSE of Anza, CA"
2991,1.8,"88km SW of Larsen Bay, Alaska"
2992,1.88,"18km WNW of Montpelier, Idaho"
2993,1.3,"124km NNW of Arctic Village, Alaska"
2994,1.3,"48km N of Yakutat, Alaska"
2995,1.6,"34km WNW of Talkeetna, Alaska"
2996,2.0,"70km SSW of Kaktovik, Alaska"
2997,1.87,"9km WSW of Lilbourn, Missouri"
2998,0.7,"87km N of Yakutat, Alaska"
2999,1.3,"52km ENE of Cantwell, Alaska"
3000,0.6,"85km ENE of Sutton-Alpine, Alaska"
3001,1.1,"100km NNW of Yakutat, Alaska"
3002,2.49,"25km E of Honaunau-Napoopoo, Hawaii"
3003,1.4,"95km NNW of Yakutat, Alaska"
3004,2.0,"117km SSE of Prudhoe Bay, Alaska"
3005,4.2,"299km N of Ndoi Island, Fiji"
3006,1.2,"34km SW of New Allakaket, Alaska"
3007,-0.1,"49km SSW of Beatty, Nevada"
3008,0.39,"103km NW of Larsen Bay, Alaska"
3009,2.0,"11km W of Kalifornsky, Alaska"
3010,0.86,"16km NE of Three Forks, Montana"
3011,1.1,"31km N of Valdez, Alaska"
3012,0.65,"10km N of Anza, CA"
3013,0.31,"9km N of Anza, CA"
3014,0.1,"13km SSE of Mogul, Nevada"
3015,2.1,"116km SSE of Prudhoe Bay, Alaska"
3016,1.4,"22km NW of Montpelier, Idaho"
3017,1.3,"16km S of Anchor Point, Alaska"
3018,0.42,"9km NE of Aguanga, CA"
3019,0.96,"15km SSW of Ocotillo Wells, CA"
3020,0.8,"9km NE of Aguanga, CA"
3021,0.26,"9km NE of Aguanga, CA"
3022,1.5,"67km ESE of Cape Yakataga, Alaska"
3023,1.9,"55km SSW of Kaktovik, Alaska"
3024,1.89,"22km NW of Montpelier, Idaho"
3025,2.4,"11km NNW of Meadow Lakes, Alaska"
3026,2.3,"15km ENE of Harper, Kansas"
3027,1.29,"2km SSE of Huntington Beach, CA"
3028,0.49,"17km SE of Mammoth Lakes, CA"
3029,4.5,Central East Pacific Rise
3030,1.1,"29km SE of Valdez, Alaska"
3031,2.09,"9km NW of Mountain View, Wyoming"
3032,0.68,"9km NNE of Cabazon, CA"
3033,0.5,"31km NW of Hawthorne, Nevada"
3034,0.86,"10km N of Cabazon, CA"
3035,3.6,"68km SSW of Kaktovik, Alaska"
3036,1.5,"38km NNW of Elko, Nevada"
3037,0.1,"39km SSE of Goldfield, Nevada"
3038,-0.3,"50km E of Beatty, Nevada"
3039,1.7,"143km W of Cantwell, Alaska"
3040,1.1,"14km NW of Anchorage, Alaska"
3041,1.05,"3km W of San Francisco Zoo, CA"
3042,0.3,"70km E of Beatty, Nevada"
3043,1.66,"8km ENE of Gilroy, CA"
3044,2.63,"30km NNE of Otra Banda, Dominican Republic"
3045,0.96,"12km WSW of Morongo Valley, CA"
3046,0.96,"8km W of Home, Washington"
3047,0.6,"33km SSW of Hawthorne, Nevada"
3048,5.7,"175km SSE of Lambasa, Fiji"
3049,5.9,"172km E of Suva, Fiji"
3050,2.12,"25km E of Honaunau-Napoopoo, Hawaii"
3051,1.91,"47km SW of Nikolski, Alaska"
3052,4.3,"34km WNW of Severo-Kuril'sk, Russia"
3053,3.5,"14km S of Y, Alaska"
3054,4.3,"68km S of San Mateo del Mar, Mexico"
3055,1.2,"120km NW of Talkeetna, Alaska"
3056,0.7,"11km NW of Kingsbury, Nevada"
3057,2.97,"25km E of Honaunau-Napoopoo, Hawaii"
3058,1.7,"97km ENE of Circle, Alaska"
3059,-0.15,"22km W of Unalaska, Alaska"
3060,0.28,"21km W of Unalaska, Alaska"
3061,1.92,"3km NE of San German, Puerto Rico"
3062,0.6,"15km SE of Gardnerville Ranchos, Nevada"
3063,1.6,"9km W of Tehachapi, CA"
3064,1.4,"40km NE of Fallon, Nevada"
3065,0.56,"34km WSW of Dutch Harbor, Alaska"
3066,3.0,"68km SSW of Kaktovik, Alaska"
3067,1.2,"89km NW of Talkeetna, Alaska"
3068,0.4,"43km ESE of Hawthorne, Nevada"
3069,2.29,"4km N of Santa Rosa, CA"
3070,2.64,"81km NNE of Luquillo, Puerto Rico"
3071,4.6,"42km SE of Mountain, Colombia"
3072,4.6,"179km ESE of Tadine, New Caledonia"
3073,-0.1,"60km S of Goldfield, Nevada"
3074,1.24,"13km ESE of Lincoln, Montana"
3075,1.01,"27km SSW of Mammoth Lakes, CA"
3076,4.4,"12km WNW of Gongjing, China"
3077,0.44,"18km NW of Parkfield, CA"
3078,-0.3,"72km E of Beatty, Nevada"
3079,2.87,"16km WSW of Rincon, Puerto Rico"
3080,1.3,"38km W of Willow, Alaska"
3081,0.6,"12km SE of Bombay Beach, CA"
3082,0.68,"8km WNW of The Geysers, CA"
3083,0.1,"72km E of Beatty, Nevada"
3084,0.8,"105km W of Haines Junction, Canada"
3085,-0.44,"94km SE of King Salmon, Alaska"
3086,1.48,"6km ESE of Wofford Heights, CA"
3087,0.05,"36km NNE of Amboy, Washington"
3088,0.7,"27km N of North Nenana, Alaska"
3089,1.73,"11km ENE of Ocotillo Wells, CA"
3090,2.1,"71km E of Beatty, Nevada"
3091,-0.4,"48km ESE of Beatty, Nevada"
3092,1.0,"13km ESE of Anza, CA"
3093,0.39,"37km NNE of Amboy, Washington"
3094,4.9,"78km E of Lakatoro, Vanuatu"
3095,0.74,"24km E of San Ardo, CA"
3096,1.01,"7km NNE of Santa Clarita, CA"
3097,2.13,"6km W of Kalaoa, Hawaii"
3098,1.84,"2km NW of Lennox, CA"
3099,1.9,"18km W of Healy, Alaska"
3100,0.41,"38km NNE of Amboy, Washington"
3101,1.04,"6km ESE of Huntington, Utah"
3102,4.4,"184km ESE of Tadine, New Caledonia"
3103,0.18,"3km ENE of Mammoth Lakes, CA"
3104,2.1,"72km SW of Kaktovik, Alaska"
3105,1.05,"2km NE of Beaumont, CA"
3106,1.5,"22km NE of Fairbanks, Alaska"
3107,1.87,"14km SE of Volcano, Hawaii"
3108,1.4,"10km SSW of Willow, Alaska"
3109,0.76,"10km W of Toms Place, CA"
3110,1.5,"88km WSW of Anchor Point, Alaska"
3111,1.5,"11km N of Gerlach-Empire, Nevada"
3112,1.16,"20km WSW of Port Ludlow, Washington"
3113,1.75,"2km NW of Lennox, CA"
3114,4.6,"167km E of Nago, Japan"
3115,0.3,"30km E of Hawthorne, Nevada"
3116,0.9,"139km WNW of Haines Junction, Canada"
3117,4.2,"33km ESE of Chitose, Japan"
3118,2.3,"68km SSW of Kaktovik, Alaska"
3119,0.32,"4km WSW of Mammoth Lakes, CA"
3120,2.3,"67km NNW of Valdez, Alaska"
3121,0.8,"52km E of Cape Yakataga, Alaska"
3122,1.05,"8km NNE of Cabazon, CA"
3123,1.01,"8km WNW of Morongo Valley, CA"
3124,4.5,"105km SSW of Pijijiapan, Mexico"
3125,1.4,"97km ENE of Circle, Alaska"
3126,2.21,"6km NNW of Pinnacles, CA"
3127,0.78,"4km W of Cobb, CA"
3128,2.3,"34km SW of Healy, Alaska"
3129,0.82,"4km W of Cobb, CA"
3130,2.2,"84km WSW of Cantwell, Alaska"
3131,1.1,"76km ENE of Cape Yakataga, Alaska"
3132,1.34,"4km NNE of El Segundo, CA"
3133,0.21,"10km NE of Aguanga, CA"
3134,0.58,"10km NE of Aguanga, CA"
3135,0.9,"43km WNW of Talkeetna, Alaska"
3136,0.63,"12km ENE of Mammoth Lakes, CA"
3137,2.27,"17km NNE of San Simeon, CA"
3138,1.94,"21km ENE of Castle Rock, Washington"
3139,1.72,"8km NE of Pahala, Hawaii"
3140,1.3,"33km W of Seward, Alaska"
3141,1.7,"74km E of Gabbs, Nevada"
3142,0.21,"6km SE of Mammoth Lakes, CA"
3143,1.48,"6km ESE of Chula Vista, CA"
3144,1.07,"5km NW of Darrington, Washington"
3145,4.1,"132km ENE of Petropavlovsk-Kamchatskiy, Russia"
3146,1.9,"54km S of Redoubt Volcano, Alaska"
3147,1.11,"4km WNW of Bainbridge Island, Washington"
3148,1.1,"78km SSW of Kobuk, Alaska"
3149,0.53,"5km SE of Mammoth Lakes, CA"
3150,0.88,"8km NE of Aguanga, CA"
3151,2.2,"63km WSW of Anchor Point, Alaska"
3152,1.9,"127km WNW of Arctic Village, Alaska"
3153,1.7,"89km WNW of Cantwell, Alaska"
3154,0.88,"6km WNW of The Geysers, CA"
3155,2.73,"5km ESE of San Juan, Puerto Rico"
3156,1.3,"17km NNE of Nikiski, Alaska"
3157,1.36,"13km WSW of Niland, CA"
3158,1.6,"57km WSW of Valdez, Alaska"
3159,2.3,"42km ESE of Old Iliamna, Alaska"
3160,0.89,"1km NE of Loma Linda, CA"
3161,0.37,"8km NNE of Murrieta Hot Springs, CA"
3162,3.7,"33km W of Cantwell, Alaska"
3163,0.59,"8km NE of Aguanga, CA"
3164,1.4,"30km SW of Hawthorne, Nevada"
3165,1.14,"3km S of Loyola, CA"
3166,0.75,"9km NE of Aguanga, CA"
3167,1.6,"134km WNW of Arctic Village, Alaska"
3168,1.4,"135km WNW of Arctic Village, Alaska"
3169,0.66,"93km ESE of Old Iliamna, Alaska"
3170,0.56,"16km WSW of Dutch Harbor, Alaska"
3171,0.7,"123km NNE of Cape Yakataga, Alaska"
3172,1.5,"88km N of Yakutat, Alaska"
3173,1.23,"3km ENE of Ridgely, Tennessee"
3174,1.4,"48km NNE of Yakutat, Alaska"
3175,0.39,"9km ENE of Aguanga, CA"
3176,0.6,"29km WSW of Hawthorne, Nevada"
3177,2.35,"16km WSW of Dutch Harbor, Alaska"
3178,1.2,"54km NNW of Valdez, Alaska"
3179,1.19,"10km S of Winlock, Washington"
3180,0.17,"5km W of Cobb, CA"
3181,0.48,"11km W of Anza, CA"
3182,2.6,"30km SE of Redoubt Volcano, Alaska"
3183,1.3,"46km ENE of Cordova, Alaska"
3184,1.71,"14km ESE of Lincoln, Montana"
3185,1.42,"7km ENE of Lima, Montana"
3186,4.5,"89km SSE of Kupang, Indonesia"
3187,0.81,"9km NW of The Geysers, CA"
3188,2.83,"84km NNE of Luquillo, Puerto Rico"
3189,1.01,"48km ENE of Driggs, Idaho"
3190,4.2,"72km WSW of Tual, Indonesia"
3191,1.33,"7km WNW of Townsend, Montana"
3192,0.84,"6km WSW of San Ardo, CA"
3193,-0.12,"53km SSW of Redoubt Volcano, Alaska"
3194,1.85,"6km WSW of San Ardo, CA"
3195,1.81,"6km SW of Volcano, Hawaii"
3196,1.93,"12km SW of Volcano, Hawaii"
3197,1.8,"39km W of Kalifornsky, Alaska"
3198,2.0,"50km SSW of Kaktovik, Alaska"
3199,0.38,"12km S of Morton, Washington"
3200,4.3,"272km N of Ndoi Island, Fiji"
3201,1.6,"46km NE of Talkeetna, Alaska"
3202,1.3,"69km W of Valdez, Alaska"
3203,0.77,"16km WSW of Dutch Harbor, Alaska"
3204,-0.62,"18km W of Unalaska, Alaska"
3205,1.3,"151km ENE of McGrath, Alaska"
