,magnitude,place
129,2.59,"2km SE of Pahala, Hawaii"
130,1.14,"9km NW of The Geysers, CA"
131,3.6,"22km SW of Perry, Oklahoma"
132,1.06,"5km ESE of Beaumont, CA"
133,1.16,"3km ESE of Lake Henshaw, CA"
134,0.8,"15km NE of Little Lake, CA"
135,0.99,"22km ENE of Honaunau-Napoopoo, Hawaii"
136,-0.1,"56km ENE of Beatty, Nevada"
137,0.24,"10km NE of Aguanga, CA"
138,2.2,"161km S of Kotzebue, Alaska"
139,0.53,"10km NE of Aguanga, CA"
140,4.4,"41km NE of Padangsidempuan, Indonesia"
141,0.4,"36km ENE of Beatty, Nevada"
142,1.2,"45km N of Valdez, Alaska"
143,0.3,"36km ENE of Beatty, Nevada"
144,1.92,"10km SE of Pinnacles, CA"
145,1.2,"28km WSW of Hawthorne, Nevada"
146,0.5,"36km ENE of Beatty, Nevada"
147,1.37,"2km W of Caltech, Pasadena, CA"
148,2.0,"160km S of Kotzebue, Alaska"
149,0.93,"8km W of Cobb, CA"
150,3.4,"162km S of Kotzebue, Alaska"
151,2.48,"8km SSE of San Juan Bautista, CA"
152,2.0,"68km SSW of Kaktovik, Alaska"
153,0.17,"10km NE of Aguanga, CA"
154,0.99,"22km ENE of Honaunau-Napoopoo, Hawaii"
155,1.5,"41km NW of Ester, Alaska"
156,1.4,"97km NW of Arctic Village, Alaska"
157,1.54,"13km SE of Mammoth Lakes, CA"
158,0.73,"9km NW of The Geysers, CA"
159,1.73,"22km WNW of Volcano, Hawaii"
160,1.9,"68km S of Kaktovik, Alaska"
161,2.7,"75km WSW of Cantwell, Alaska"
162,1.07,"9km NE of Aguanga, CA"
163,0.33,"10km NE of Aguanga, CA"
164,0.58,"10km NE of Aguanga, CA"
165,5.1,"49km W of Kasiguncu, Indonesia"
166,1.7,"24km S of Ester, Alaska"
167,2.0,"75km NNE of Gerlach-Empire, Nevada"
168,0.6,"34km NW of Beatty, Nevada"
169,2.1,"8km ENE of Edmond, Oklahoma"
170,2.47,"26km W of Christiansted, U.S. Virgin Islands"
171,0.0,"14km SSE of Mogul, Nevada"
172,2.6,"104km NW of Arctic Village, Alaska"
173,0.1,"37km NNW of Beatty, Nevada"
174,2.9,"163km SSE of Kotzebue, Alaska"
175,0.76,"5km SSW of Idyllwild, CA"
176,0.2,"10km ESE of Dollar Point, California"
177,0.0,"9km SE of Incline Village, Nevada"
178,1.4,"35km NNW of Valdez, Alaska"
179,2.4,"76km S of Kaktovik, Alaska"
180,4.5,"25km ESE of Chitose, Japan"
181,1.4,"13km SW of Talkeetna, Alaska"
182,0.3,"33km NW of Beatty, Nevada"
183,0.8,"4km WSW of Tahoe Vista, California"
184,1.0,"34km NW of Beatty, Nevada"
185,4.4,"12km W of Katav-Ivanovsk, Russia"
186,2.3,"8km ENE of Edmond, Oklahoma"
187,0.54,"9km NE of Aguanga, CA"
188,1.05,"22km ENE of Honaunau-Napoopoo, Hawaii"
189,1.8,"4km SSE of Big Lake, Alaska"
190,1.4,"3km NE of Eagle Village, Alaska"
191,1.5,"57km WSW of Talkeetna, Alaska"
192,1.86,"7km SSW of Round Valley, CA"
193,1.9,"105km W of Talkeetna, Alaska"
194,2.06,"4km SW of Colma, CA"
195,2.6,"92km S of Old Iliamna, Alaska"
196,0.8,"45km NE of Mammoth Lakes, California"
197,1.96,"11km S of Tallaboa, Puerto Rico"
198,1.8,"67km SE of Whittier, Alaska"
199,1.4,"107km W of Cantwell, Alaska"
200,2.14,"22km ENE of Honaunau-Napoopoo, Hawaii"
201,1.9,"92km NW of Arctic Village, Alaska"
202,-0.1,"10km ESE of Dollar Point, California"
203,1.5,"77km S of Kaktovik, Alaska"
204,1.82,"7km S of Tallaboa, Puerto Rico"
205,0.69,"11km NE of Aguanga, CA"
206,2.15,"0km WSW of The Geysers, CA"
207,1.05,"0km NW of The Geysers, CA"
208,1.4,"61km SW of Kaktovik, Alaska"
209,5.1,"53km W of Kasiguncu, Indonesia"
210,2.09,"22km ENE of Honaunau-Napoopoo, Hawaii"
211,-0.2,"3km WSW of Tahoe Vista, California"
212,1.62,"2km N of The Geysers, CA"
213,-0.03,"11km WSW of Anza, CA"
214,1.13,"2km NNW of The Geysers, CA"
215,-0.3,"11km SSE of Kings Beach, California"
216,1.7,"116km WNW of Arctic Village, Alaska"
217,1.82,"8km ENE of Aguanga, CA"
218,2.3,"83km WNW of Arctic Village, Alaska"
219,0.9,"44km S of Gabbs, Nevada"
220,-0.3,"33km NW of Beatty, Nevada"
221,1.0,"44km WSW of Whittier, Alaska"
222,-0.3,"4km W of Tahoe Vista, California"
223,2.3,"6km SSW of Big Lake, Alaska"
224,1.4,"89km WNW of Cape Yakataga, Alaska"
225,4.8,"16km NNW of Poso, Indonesia"
226,1.84,"3km SE of Pahala, Hawaii"
227,1.0,"24km NNE of Hawthorne, Nevada"
228,1.02,"22km ENE of Honaunau-Napoopoo, Hawaii"
229,1.8,"148km ESE of McGrath, Alaska"
230,1.9,"83km WNW of Arctic Village, Alaska"
231,1.6,"25km E of Skagway, Alaska"
232,4.0,"54km W of La Ligua, Chile"
233,1.54,"39km NE of Big Bear City, CA"
234,1.8,"107km NNW of Arctic Village, Alaska"
235,2.2,"22km ENE of Honaunau-Napoopoo, Hawaii"
236,1.99,"22km ENE of Honaunau-Napoopoo, Hawaii"
237,1.6,"90km NNW of Glennallen, Alaska"
238,2.02,"22km ENE of Honaunau-Napoopoo, Hawaii"
239,4.7,"30km SE of Putre, Chile"
240,1.9,"43km N of Nikiski, Alaska"
241,0.95,"22km ENE of Honaunau-Napoopoo, Hawaii"
242,0.62,"7km NE of Anza, CA"
243,0.73,"9km NE of Aguanga, CA"
244,1.0,"4km SE of Coso Junction, CA"
245,2.1,"77km WSW of Cantwell, Alaska"
246,2.4,"22km ENE of Honaunau-Napoopoo, Hawaii"
247,1.87,"2km SE of Pahala, Hawaii"
248,1.67,"2km N of Maricao, Puerto Rico"
249,1.7,"94km NNW of Talkeetna, Alaska"
250,3.1,"114km NNW of Arctic Village, Alaska"
251,0.64,"9km NE of Aguanga, CA"
252,1.8,"2km SSE of Big Lake, Alaska"
253,2.9,"7km S of Big Lake, Alaska"
254,4.8,Kuril Islands
