,active,code,firstName,hasMorePages,id,lastName,number,officialDenomination,salutationLetter,salutationTitle,updated
1924,False,PER_2103_,Moritz,,134,Leuenberger,2103.0,Leuenberger Moritz,,,2015-05-17T21:18:19Z
1925,False,,Rudolf,,2592,Leuenberger,,,,,2015-05-17T21:18:19Z
1926,False,PER_2579_,Ueli,,1065,Leuenberger,2579.0,Leuenberger-Genève,,,2015-05-17T21:18:19Z
1927,False,PER_2437_,Helen,,373,Leumann,2437.0,Leumann,,,2015-05-17T21:18:19Z
1928,False,,Joh. Georg,,2593,Leumann,,,,,2015-05-17T21:18:19Z
1929,False,,Kurt,,2594,Leupin,,,,,2015-05-17T21:18:19Z
1930,False,PER_2612_,Filippo,,1113,Leutenegger,2612.0,Leutenegger Filippo,,,2015-05-17T21:18:19Z
1931,False,PER_2509_,Hansjakob,,485,Leutenegger,2509.0,Leutenegger Hajo,,,2015-05-17T21:18:19Z
1932,False,,Werner F.,,2595,Leutenegger,,,,,2015-05-17T21:18:19Z
1933,True,PER_2129_,Susanne,,487,Leutenegger Oberholzer,2129.0,Leutenegger Oberholzer,,,2017-03-22T14:56:46Z
1934,False,PER_2510_,Doris,,488,Leuthard,2510.0,Leuthard,,,2015-05-17T21:18:19Z
1935,True,PER_2613_,Christian,,1150,Levrat,2613.0,Levrat,,,2015-11-20T13:50:17Z
1936,False,,Ernst,,2596,Lieb,,,,,2015-05-17T21:18:19Z
1937,False,PER_1156_,Emilie,,707,Lieberherr,1156.0,Lieberherr,,,2015-05-17T21:18:19Z
1938,False,,Hermann,,2597,Liechti,,,,,2015-05-17T21:18:19Z
1939,False,,Hermann,,2598,Lienhard,,,,,2015-05-17T21:18:19Z
1940,False,PER_1125_,David,,676,Linder,1125.0,,,,2015-05-17T21:18:19Z
1941,False,,A.-Théodore,,2599,Lissignol,,,,,2015-05-17T21:18:19Z
1942,False,,Albert-A.,,2600,Locher,,,,,2015-05-17T21:18:19Z
1943,False,,Armin,,2601,Locher,,,,,2015-05-17T21:18:19Z
1944,False,,Joh. Albert,,2602,Locher,,,,,2015-05-17T21:18:19Z
1945,False,,Otto,,2603,Locher,,,,,2015-05-17T21:18:19Z
1946,False,PER_2104_,François,,135,Loeb,2104.0,Loeb,,,2015-05-17T21:18:19Z
1947,False,PER_2511_,Arthur,,489,Loepfe,2511.0,Loepfe,,,2015-05-17T21:18:19Z
1948,False,PER_1126_,Francis,,677,Loetscher,1126.0,Loetscher,,,2015-05-17T21:18:19Z
1949,False,,Paul,True,2604,Logoz,,,,,2015-05-17T21:18:19Z
1950,False,,Albert R. S.,,2605,Lohner,,,,,2015-05-17T21:18:19Z
1951,False,,Emil,,2606,Lohner,,,,,2015-05-17T21:18:19Z
1952,True,PER_3024_,Christian,,4118,Lohr,3024.0,Lohr,,,2016-09-01T13:31:27Z
1953,True,PER_2561_,Filippo,,540,Lombardi,2561.0,Lombardi,,,2018-01-16T09:32:26Z
1954,False,PER_2105_,René,,748,Longet,2105.0,Longet René,,,2015-05-17T21:18:19Z
1955,False,,Ernst,,2607,Löpfe,,,,,2015-05-17T21:18:19Z
1956,False,,Gustav,,2608,Loretan,,,,,2015-05-17T21:18:19Z
1957,False,PER_2402_,Otto G.,,339,Loretan,2402.0,Loretan Otto G.,,,2015-05-17T21:18:19Z
1958,False,,Raimund,,2609,Loretan,,,,,2015-05-17T21:18:19Z
1959,False,PER_2106_,Willy,,136,Loretan,2106.0,Loretan Willy,,,2015-05-17T21:18:19Z
1960,False,PER_2403_,Josef,,340,Lötscher,2403.0,Lötscher,,,2015-05-17T21:18:19Z
1961,False,,Louis,,2610,Lovis,,,,,2015-05-17T21:18:19Z
1962,False,,Emanuel,,2611,Löw,,,,,2015-05-17T21:18:19Z
1963,False,PER_1031_,Hans-Georg,,584,Lüchinger,1031.0,Lüchinger,,,2015-05-17T21:18:19Z
1964,False,,L.-Jos.-Antoine,,2612,Luder,,,,,2015-05-17T21:18:19Z
1965,False,PER_2107_,Paul,,282,Luder,2107.0,Luder Paul,,,2015-05-17T21:18:19Z
1966,False,,Ulrich,,2613,Luder,,,,,2015-05-17T21:18:19Z
1967,True,PER_2721_,Werner,,3918,Luginbühl,2721.0,Luginbühl,,,2017-01-10T08:57:00Z
1968,False,PER_2697_,Ricardo,,3894,Lumengo,2697.0,Lumengo,,,2016-12-19T10:01:14Z
1969,False,,Bernardino,,2614,Lurati,,,,,2015-05-17T21:18:19Z
1970,False,,Giovanni,,2615,Lurati,,,,,2015-05-17T21:18:19Z
1971,True,PER_2698_,Christian,,3895,Lüscher,2698.0,Lüscher,,,2015-12-03T15:50:14Z
1972,False,,Augustin,,2616,Lusser,,,,,2015-05-17T21:18:19Z
1973,False,,Florian jun.,,2617,Lusser,,,,,2015-05-17T21:18:19Z
1974,False,,Florian sen.,,2618,Lusser,,,,,2015-05-17T21:18:19Z
1975,False,,Franz,,2619,Lusser,,,,,2015-05-17T21:18:19Z
1976,False,,Josef,,2620,Lusser,,,,,2015-05-17T21:18:19Z
1977,False,,Niklaus,,2621,Lussi,,,,,2015-05-17T21:18:19Z
1978,False,PER_2512_,Ruedi,,490,Lustenberger,2512.0,Lustenberger,,,2015-05-17T21:18:19Z
1979,False,,Georges,,2622,Luterbacher,,,,,2015-05-17T21:18:19Z
1980,False,,Johann Joachim,,2623,Lüthi,,,,,2015-05-17T21:18:19Z
