,0
175,Regierungskonferenz der Gebirgskantone (RKGK)
176,Bundesamt für Verkehr
177,Schweizerische Arbeitsgemeinschaft der Jugendverbände (SAJV)
178,Secrétariat général DFI
179,CVP-Bundeshausfraktion
180,"Stiftung ""Zugang für alle"" / Bundeskanzlei (BK)"
181,"NR Ruedi Noser / Verein Machbarkeit ""Stiftung Forschung Schweiz"""
182,Eidgenössisches Volkswirtschaftsdepartement
183,NR Fulvio Pelli
184,SBB/CFF
185,Stiftung Produktive Schweiz
186,NR Andreas Gross
187,Eidg. Finanzverwaltung
188,KVF-S
189,Parti Libéral Suisse PLS / PRD Suisse
190,"Initiativkomitee, Koordination SP Schweiz"
191,Konferenz der Höheren Fachschulen
192,UREK-N
193,LITRA/Verkehrsforum
194,Bundesamt für Berufsbildung und Technologie (BBT) - ab 1.1.2013 SBFI
195,Fonds Landschaft Schweiz (FLS) und Regierung des Kantons Genf
196,GPK
197,WBK-S
198,SP Schweiz und Schweizerischer Gewerkschaftsbund
199,Schweiz. Akademie der Technischen Wissenschaften SATW
200,SP Schweiz / Grüne
201,Handicap International
202,Schweizerische Konferenz der kantonalen Gesundheitsdirektorinnen und -direktoren (GDK)
203,Schweiz. Baumeisterverband (SBV)
204,SWISSCOMPETENCE
205,Bundesversammlung
206,Jungfreisinnige Schweiz (jfs)
207,Jungsozialistinnen Schweiz (JUSO)
208,Liberale Partei der Schweiz (LSP)
209,Helvetia Latina
210,CVP Kanton Bern
211,"bauenschweiz, NR Robert Keller"
212,Helvetas und Polit-Forum Käfigturm
213,Eidg. Kommunikationskommission ComCom
214,Collectif africain
215,Direktion für Entwicklung und Zusammenarbeit
216,Bundesamt für Energie
217,Oberauditorat - Militärjustiz
218,Grünliberale Partei Schweiz und Bewegung Ecologie libérale
219,Schweiz. Vereinigung Eltern gegen Drogen
220,Eidgenössische Steuerverwaltung
221,"VCS, VöV und SEV"
222,SWTR - Schweizerischer Wirtschafts- und Technologierat
223,Schweizerisches Komitee für UNICEF
224,Schweizer Tierschutz STS
225,Bundesamt für Wohnungswesen
226,Nationale Ethikkommission im Bereich Humanmedizin NEK
227,Bundesamt für Bevölkerungsschutz
228,Erklärung von Bern / Pro Natura
229,Bundesamt für Statistik
230,Bundesamt für Statistik (BFS) / Schweizerische Konferenz der kantonalen Erziehungsdirektoren (EDK)
231,SPK-S
232,RK-N
233,FK-N
234,"Departement für Erziehung, Kultur und Sport (DECS) des Kantons Tessin / Bundesamt für Sport (BASPO) / Tessiner Verkehrsverein"
235,Schweizerische Konferenz der kantonalen Erziehungsdirektoren (EDK)
236,Schweizerisches Bundesarchiv
237,Projektorganisation Öffentliche Hand (POÖH) UEFA EURO 2008
238,"Eidgenössische Forschungsanstalt für Wald, Schnee und Landschaft"
239,"Allianz ""Stopp Atom"""
240,SVP/AUNS
