,Councillors
208,Martin Schmid FDP-Liberale
209,Philipp Kutter CVP
210,Daniela Schneeberger FDP-Liberale
211,Ursula Schneider Schüttel SP
212,Elisabeth Schneider-Schneiter CVP
213,Pirmin Schwander SVP
214,Priska Seiler Graf SP
215,Silva Semadeni SP
216,Anne Seydoux-Christe CVP
217,Heinz Siegenthaler BDP
218,Sandra Sollberger SVP
219,Carlo Sommaruga SP
220,Jürg Stahl SVP
221,Luzi Stamm SVP
222,Barbara Steinemann SVP
223,Hans Stöckli SP
224,Marianne Streiff-Feller EVP
225,Adèle Thorens Goumaz GPS
226,Michael Töngi GPS
227,Manuel Tornare SP
228,Alexander Tschäppät SP
229,Mauro Tuena SVP
230,Albert Vitali FDP-Liberale
231,Karl Vogler csp-ow
232,Hans-Ueli Vogt SVP
233,Erich von Siebenthal SVP
234,Beat Vonlanthen CVP
235,Bruno Walliser SVP
236,Beat Walti FDP-Liberale
237,Christian Wasserfallen FDP-Liberale
238,Laurent Wehrli FDP-Liberale
239,Thomas Weibel glp
240,Cédric Wermuth SP
241,Hans Wicki FDP-Liberale
242,Walter Wobmann SVP
243,Claudio Zanetti SVP
244,Roberto Zanetti SP
245,David Zuberbühler SVP
