,0,1,2,3,4,5,6,7
0,100,Veranstaltung nicht gefunden,,,,,,
1,101,Veranstaltung nicht gefunden,,,,,,
2,102,WAK-N zu Steuervorlagen,Medienzentrum 3003 Bern,Di 29.08.2006 17:30,Medienkonferenz der WAK-N zu den Steuervorlagen.,Kein Kontakt,WAK N,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-102.html
3,103,Veranstaltung nicht gefunden,,,,,,
4,104,Veranstaltung nicht gefunden,,,,,,
5,105,Finanzpolitischer Apéro,Bernerhof Bern,Do 14.09.2006 12:15 - 14:00,"Die Eidg. Finanzverwaltung lädt Sie zum ersten „Finanzpolitischen Apéro“ ein. Die Veranstaltung soll den interessierten Medienschaffenden Gelegenheit bieten, sich aus erster Hand und in ungezwungener Atmosphäre über aktuelle Themen der Fi-nanzpolitik zu informieren. Am Anlass werden Peter Siegenthaler, Direktor der Eidg. Finanzverwaltung, und die Vizedirektoren Fritz Zurbrügg, Beat Blaser, und Karl Schwaar je ein Kurzreferat hal-ten. Neben der neu gestalteten und frisch gedruckten Finanzberichterstattung zum Voranschlag 2007 und dem Finanzplan 2008 – 2010 wird ein Ausblick auf die weite-ren Schritte im Neuen Rechnungsmodell des Bundes sowie eine aktuelle finanzpoliti-sche Standortbestimmung Thema sein. Anschliessend bietet sich bei einem; Apéro Gelegenheit für Fragen und Diskussionen.",Kein Kontakt,Eidgenössisches Finanzdepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-105.html
6,106,Sitzung Kommission für soziale Sicherheit und Gesundheit,Bundesrain Bern,Mi 13.09.2006 08:00 - 17:00,Keine Beschreibung,Kein Kontakt,Kommission für soziale Sicherheit und Gesundheit,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-106.html
7,107,Veranstaltung nicht gefunden,,,,,,
8,108,Veranstaltung nicht gefunden,,,,,,
9,109,Veranstaltung nicht gefunden,,,,,,
10,110,Veranstaltung nicht gefunden,,,,,,
11,111,Veranstaltung nicht gefunden,,,,,,
12,112,Löhne 2007,Hotel Bern Bern,So 10.09.2006 08:00,PK,Kein Kontakt,Gewerkschaftsbund,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-112.html
13,113,Veranstaltung nicht gefunden,,,,,,
14,114,Veranstaltung nicht gefunden,,,,,,
15,115,Veranstaltung nicht gefunden,,,,,,
16,116,Heerestage 2006,Konferenzsaal Bern,Fr 13.10.2006 10:00,Keine Beschreibung,Kein Kontakt,Generalsekretariat VBS,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-116.html
17,117,Veranstaltung nicht gefunden,,,,,,
18,118,Veranstaltung nicht gefunden,,,,,,
19,119,Veranstaltung nicht gefunden,,,,,,
20,120,Veranstaltung nicht gefunden,,,,,,
21,121,Veranstaltung nicht gefunden,,,,,,
22,122,Veranstaltung nicht gefunden,,,,,,
23,123,Veranstaltung nicht gefunden,,,,,,
24,124,Veranstaltung nicht gefunden,,,,,,
25,125,Veranstaltung nicht gefunden,,,,,,
26,126,Veranstaltung nicht gefunden,,,,,,
27,127,Veranstaltung nicht gefunden,,,,,,
28,128,Veranstaltung nicht gefunden,,,,,,
29,129,Veranstaltung nicht gefunden,,,,,,
30,130,Veranstaltung nicht gefunden,,,,,,
31,131,Bundespräsident Leuenberger nimmt an der Verkehrsministerkonferenz in Verona teil,- Verona,Fr 03.11.2006,Keine Beschreibung,Kein Kontakt,Generalsekretariat UVEK,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-131.html
32,132,Veranstaltung nicht gefunden,,,,,,
33,133,Referat von Bundesrat Pascal Couchepin beim ETH-Symposium «Technologieentwicklung und Nachhaltigkeit in der Schweiz»,ETH Zürich,Fr 03.11.2006 09:30,Keine Beschreibung,Kein Kontakt,Eidgenössisches Departement des Innern,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-133.html
34,134,Le Conseiller fédéral Couchepin prononce à 14h30 un discours à l'occasion du séminaire de la Commission fédérale pour l'enfance et la jeunesse à Bienne.,Bienne Berne,Fr 03.11.2006 14:30,Keine Beschreibung,Kein Kontakt,Département fédéral de l'intérieur,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-134.html
